freq ReZ ImZ ReErrZ ImErrZ C G errC errG
9.157509e+05 5.435327e-06 -6.566771e-04 6.869202e-08 1.108758e-05 2.646434e-04 1.260353e+01 2.768125e-08 1.761251e-03
8.090615e+05 5.877172e-06 -7.432890e-04 7.714645e-08 1.255314e-05 2.646390e-04 1.063716e+01 2.746534e-08 1.420378e-03
7.147963e+05 6.447109e-06 -8.413298e-04 8.872052e-08 1.421202e-05 2.646342e-04 9.107662e+00 2.790476e-08 1.178880e-03
6.321113e+05 7.175288e-06 -9.514012e-04 1.041044e-07 1.607434e-05 2.646295e-04 7.926605e+00 2.895469e-08 1.009968e-03
5.595971e+05 8.101889e-06 -1.074706e-03 1.241861e-07 1.816036e-05 2.646247e-04 7.014271e+00 3.057661e-08 8.934897e-04
4.952947e+05 9.291768e-06 -1.214250e-03 1.503855e-07 2.052090e-05 2.646201e-04 6.301685e+00 3.277142e-08 8.149105e-04
4.385965e+05 1.080944e-05 -1.371236e-03 1.841083e-07 2.317626e-05 2.646158e-04 5.748465e+00 3.552629e-08 7.658559e-04
3.885004e+05 1.274575e-05 -1.548068e-03 2.273355e-07 2.616707e-05 2.646119e-04 5.318096e+00 3.885592e-08 7.400609e-04
3.442341e+05 1.521270e-05 -1.747148e-03 2.825132e-07 2.953403e-05 2.646085e-04 4.983269e+00 4.278387e-08 7.334177e-04
3.050641e+05 1.835615e-05 -1.971479e-03 3.528529e-07 3.332803e-05 2.646058e-04 4.722366e+00 4.735471e-08 7.432397e-04
2.704164e+05 2.235552e-05 -2.224062e-03 4.423353e-07 3.759998e-05 2.646039e-04 4.519049e+00 5.262075e-08 7.678594e-04
2.397507e+05 2.744106e-05 -2.508496e-03 5.561197e-07 4.241105e-05 2.646031e-04 4.360358e+00 5.865402e-08 8.063494e-04
2.126302e+05 3.389459e-05 -2.828376e-03 7.006006e-07 4.782250e-05 2.646035e-04 4.236369e+00 6.553398e-08 8.582618e-04
1.885725e+05 4.210171e-05 -3.189095e-03 8.846221e-07 5.392618e-05 2.646053e-04 4.138939e+00 7.338600e-08 9.237996e-04
1.672520e+05 5.252336e-05 -3.595438e-03 1.118920e-06 6.080390e-05 2.646088e-04 4.062153e+00 8.233015e-08 1.003330e-03
1.483900e+05 6.572067e-05 -4.052178e-03 1.416789e-06 6.853763e-05 2.646140e-04 4.001388e+00 9.249437e-08 1.097363e-03
1.316482e+05 8.247488e-05 -4.567083e-03 1.796919e-06 7.726037e-05 2.646212e-04 3.952777e+00 1.040813e-07 1.207151e-03
1.168224e+05 1.036831e-04 -5.146094e-03 2.281273e-06 8.707476e-05 2.646305e-04 3.913600e+00 1.172636e-07 1.333660e-03
1.036592e+05 1.305853e-04 -5.798735e-03 2.900501e-06 9.814466e-05 2.646421e-04 3.881570e+00 1.323057e-07 1.478705e-03
9.199632e+04 1.646241e-04 -6.532691e-03 3.691141e-06 1.106035e-04 2.646561e-04 3.855081e+00 1.494427e-07 1.643750e-03
8.163265e+04 2.078084e-04 -7.360397e-03 4.704506e-06 1.246659e-04 2.646726e-04 3.832786e+00 1.690346e-07 1.831374e-03
7.246377e+04 2.623264e-04 -8.289422e-03 5.998308e-06 1.404650e-04 2.646917e-04 3.813808e+00 1.913419e-07 2.043081e-03
6.430868e+04 3.314962e-04 -9.337431e-03 7.659916e-06 1.583057e-04 2.647135e-04 3.797316e+00 2.168831e-07 2.282706e-03
5.711022e+04 4.185177e-04 -1.050998e-02 9.777649e-06 1.782879e-04 2.647381e-04 3.782877e+00 2.459014e-07 2.551328e-03
5.068424e+04 5.292190e-04 -1.183636e-02 1.250855e-05 2.009155e-04 2.647658e-04 3.769919e+00 2.792438e-07 2.855470e-03
4.498426e+04 6.692404e-04 -1.332765e-02 1.601218e-05 2.263820e-04 2.647966e-04 3.758215e+00 3.173334e-07 3.197460e-03
3.993610e+04 8.459399e-04 -1.500054e-02 2.049838e-05 2.549738e-04 2.648308e-04 3.747543e+00 3.607466e-07 3.580872e-03
3.546099e+04 1.068917e-03 -1.687719e-02 2.624403e-05 2.870664e-04 2.648686e-04 3.737705e+00 4.102251e-07 4.010445e-03
