freq ReZ ImZ ReErrZ ImErrZ C G errC errG
9.157509e+05 9.343883e-06 -5.575988e-04 1.627315e-07 7.783562e-06 3.116011e-04 3.004428e+01 9.091321e-08 7.025902e-03
8.090615e+05 1.065744e-05 -6.310779e-04 1.982391e-07 8.809013e-06 3.116247e-04 2.675243e+01 9.786205e-08 6.304546e-03
7.147963e+05 1.233549e-05 -7.142353e-04 2.436506e-07 9.969201e-06 3.116499e-04 2.417376e+01 1.062830e-07 5.825709e-03
6.321113e+05 1.445915e-05 -8.075719e-04 3.011674e-07 1.127095e-05 3.116780e-04 2.216365e+01 1.161967e-07 5.536597e-03
5.595971e+05 1.713639e-05 -9.120961e-04 3.737145e-07 1.272811e-05 3.117100e-04 2.059135e+01 1.276724e-07 5.396765e-03
4.952947e+05 2.054218e-05 -1.030341e-03 4.660262e-07 1.437569e-05 3.117474e-04 1.934247e+01 1.409482e-07 5.378392e-03
4.385965e+05 2.484509e-05 -1.163305e-03 5.826564e-07 1.622722e-05 3.117908e-04 1.835080e+01 1.560932e-07 5.464550e-03
3.885004e+05 3.028215e-05 -1.312999e-03 7.299990e-07 1.831019e-05 3.118410e-04 1.755604e+01 1.732846e-07 5.643468e-03
3.442341e+05 3.714178e-05 -1.481426e-03 9.158225e-07 2.065178e-05 3.118986e-04 1.691336e+01 1.926956e-07 5.907687e-03
3.050641e+05 4.579692e-05 -1.671086e-03 1.150156e-06 2.328592e-05 3.119638e-04 1.638750e+01 2.145537e-07 6.253437e-03
2.704164e+05 5.670182e-05 -1.884467e-03 1.445196e-06 2.624604e-05 3.120366e-04 1.595243e+01 2.390841e-07 6.679094e-03
2.397507e+05 7.043679e-05 -2.124548e-03 1.816509e-06 2.957200e-05 3.121164e-04 1.558796e+01 2.665695e-07 7.185538e-03
2.126302e+05 8.770757e-05 -2.394287e-03 2.282993e-06 3.330288e-05 3.122026e-04 1.527926e+01 2.972916e-07 7.774750e-03
1.885725e+05 1.094826e-04 -2.698132e-03 2.870573e-06 3.749765e-05 3.122943e-04 1.501428e+01 3.317073e-07 8.453041e-03
1.672520e+05 1.369132e-04 -3.039982e-03 3.609997e-06 4.220668e-05 3.123904e-04 1.478507e+01 3.702146e-07 9.226305e-03
1.483900e+05 1.713979e-04 -3.423682e-03 4.538541e-06 4.747820e-05 3.124893e-04 1.458585e+01 4.132101e-07 1.010084e-02
1.316482e+05 2.148916e-04 -3.855520e-03 5.708246e-06 5.339208e-05 3.125900e-04 1.441141e+01 4.613682e-07 1.108893e-02
1.168224e+05 2.696275e-04 -4.340160e-03 7.178288e-06 6.000299e-05 3.126910e-04 1.425870e+01 5.151783e-07 1.219924e-02
1.036592e+05 3.386960e-04 -4.885118e-03 9.030336e-06 6.740062e-05 3.127913e-04 1.412463e+01 5.754411e-07 1.344678e-02
9.199632e+04 4.256708e-04 -5.496181e-03 1.135816e-05 7.564532e-05 3.128898e-04 1.400730e+01 6.427487e-07 1.484195e-02
8.163265e+04 5.355187e-04 -6.182807e-03 1.429143e-05 8.483887e-05 3.129858e-04 1.390456e+01 7.180733e-07 1.640248e-02
7.246377e+04 6.735828e-04 -6.950020e-03 1.796764e-05 9.501237e-05 3.130782e-04 1.381524e+01 8.018581e-07 1.813415e-02
6.430868e+04 8.479426e-04 -7.810630e-03 2.259359e-05 1.062843e-04 3.131669e-04 1.373744e+01 8.953369e-07 2.005767e-02
5.711022e+04 1.066186e-03 -8.766726e-03 2.835739e-05 1.186107e-04 3.132509e-04 1.367041e+01 9.984922e-07 2.216597e-02
5.068424e+04 1.342175e-03 -9.838664e-03 3.560379e-05 1.321525e-04 3.133308e-04 1.361222e+01 1.113154e-06 2.448688e-02
4.498426e+04 1.688779e-03 -1.103036e-02 4.463615e-05 1.468147e-04 3.134061e-04 1.356222e+01 1.239202e-06 2.700419e-02
3.993610e+04 2.122343e-03 -1.234827e-02 5.582669e-05 1.624808e-04 3.134764e-04 1.351947e+01 1.376566e-06 2.969761e-02
3.546099e+04 2.663489e-03 -1.380036e-02 6.962347e-05 1.789771e-04 3.135419e-04 1.348301e+01 1.525027e-06 3.253652e-02
