tau U offset_const cost_const
1.276000e-07 5.084731e-09 2.159377e-07 6.498926e-03
1.300257e-07 3.710249e-10 2.159377e-07 6.498926e-03
1.324975e-07 5.581451e-07 2.159377e-07 6.498926e-03
1.350163e-07 4.404545e-08 2.159377e-07 6.498926e-03
1.375830e-07 1.774930e-07 2.159377e-07 6.498926e-03
1.401985e-07 3.251821e-07 2.159377e-07 6.498926e-03
1.428637e-07 5.064790e-07 2.159377e-07 6.498926e-03
1.455795e-07 8.354517e-07 2.159377e-07 6.498926e-03
1.483470e-07 3.627029e-07 2.159377e-07 6.498926e-03
1.511671e-07 7.795761e-07 2.159377e-07 6.498926e-03
1.540409e-07 9.946634e-07 2.159377e-07 6.498926e-03
1.569692e-07 1.184682e-06 2.159377e-07 6.498926e-03
1.599532e-07 1.364091e-06 2.159377e-07 6.498926e-03
1.629940e-07 1.533161e-06 2.159377e-07 6.498926e-03
1.660925e-07 1.687931e-06 2.159377e-07 6.498926e-03
1.692500e-07 1.822923e-06 2.159377e-07 6.498926e-03
1.724674e-07 1.928336e-06 2.159377e-07 6.498926e-03
1.757461e-07 1.998777e-06 2.159377e-07 6.498926e-03
1.790870e-07 2.033563e-06 2.159377e-07 6.498926e-03
1.824915e-07 2.036509e-06 2.159377e-07 6.498926e-03
1.859607e-07 2.013615e-06 2.159377e-07 6.498926e-03
1.894959e-07 1.970530e-06 2.159377e-07 6.498926e-03
1.930982e-07 1.911071e-06 2.159377e-07 6.498926e-03
1.967690e-07 1.836744e-06 2.159377e-07 6.498926e-03
2.005097e-07 1.746406e-06 2.159377e-07 6.498926e-03
2.043214e-07 1.634734e-06 2.159377e-07 6.498926e-03
2.082056e-07 1.485573e-06 2.159377e-07 6.498926e-03
2.121636e-07 1.234290e-06 2.159377e-07 6.498926e-03
2.161969e-07 1.265651e-09 2.159377e-07 6.498926e-03
2.203068e-07 1.936698e-06 2.159377e-07 6.498926e-03
2.244949e-07 1.349379e-06 2.159377e-07 6.498926e-03
2.287626e-07 9.170362e-07 2.159377e-07 6.498926e-03
2.331114e-07 1.739695e-07 2.159377e-07 6.498926e-03
2.375429e-07 5.228391e-09 2.159377e-07 6.498926e-03
2.420586e-07 5.942363e-06 2.159377e-07 6.498926e-03
2.466602e-07 2.917881e-06 2.159377e-07 6.498926e-03
2.513493e-07 2.077593e-06 2.159377e-07 6.498926e-03
2.561275e-07 1.508937e-06 2.159377e-07 6.498926e-03
2.609965e-07 9.228208e-07 2.159377e-07 6.498926e-03
2.659581e-07 4.055408e-09 2.159377e-07 6.498926e-03
2.710140e-07 1.149676e-12 2.159377e-07 6.498926e-03
2.761660e-07 7.735937e-09 2.159377e-07 6.498926e-03
2.814160e-07 4.793865e-08 2.159377e-07 6.498926e-03
2.867658e-07 4.288397e-09 2.159377e-07 6.498926e-03
2.922172e-07 2.406495e-06 2.159377e-07 6.498926e-03
2.977723e-07 7.164091e-07 2.159377e-07 6.498926e-03
3.034330e-07 1.765827e-08 2.159377e-07 6.498926e-03
3.092014e-07 9.821443e-09 2.159377e-07 6.498926e-03
3.150793e-07 4.016512e-09 2.159377e-07 6.498926e-03
3.210691e-07 6.200552e-09 2.159377e-07 6.498926e-03
3.271726e-07 2.808824e-08 2.159377e-07 6.498926e-03
3.333923e-07 1.652214e-05 2.159377e-07 6.498926e-03
3.397301e-07 6.440528e-09 2.159377e-07 6.498926e-03
3.461884e-07 1.440685e-05 2.159377e-07 6.498926e-03
3.527696e-07 1.645917e-08 2.159377e-07 6.498926e-03
3.594758e-07 1.980876e-07 2.159377e-07 6.498926e-03
3.663095e-07 9.869688e-06 2.159377e-07 6.498926e-03
3.732731e-07 2.427581e-08 2.159377e-07 6.498926e-03
3.803691e-07 3.842747e-08 2.159377e-07 6.498926e-03
3.876000e-07 2.546255e-11 2.159377e-07 6.498926e-03
3.949683e-07 3.650505e-05 2.159377e-07 6.498926e-03
4.024767e-07 1.819541e-05 2.159377e-07 6.498926e-03
4.101279e-07 2.607714e-08 2.159377e-07 6.498926e-03
4.179245e-07 1.654558e-04 2.159377e-07 6.498926e-03
4.258693e-07 2.599484e-07 2.159377e-07 6.498926e-03
4.339652e-07 2.372257e-04 2.159377e-07 6.498926e-03
4.422149e-07 8.008348e-08 2.159377e-07 6.498926e-03
4.506215e-07 5.676763e-06 2.159377e-07 6.498926e-03
4.591879e-07 9.465288e-04 2.159377e-07 6.498926e-03
4.679172e-07 4.205621e-04 2.159377e-07 6.498926e-03
4.768124e-07 1.048869e-04 2.159377e-07 6.498926e-03
4.858767e-07 8.123576e-05 2.159377e-07 6.498926e-03
4.951133e-07 4.158770e-04 2.159377e-07 6.498926e-03
5.045255e-07 6.008061e-08 2.159377e-07 6.498926e-03
5.141166e-07 4.749855e-06 2.159377e-07 6.498926e-03
5.238900e-07 8.139260e-04 2.159377e-07 6.498926e-03
5.338493e-07 6.755834e-04 2.159377e-07 6.498926e-03
5.439979e-07 5.295379e-04 2.159377e-07 6.498926e-03
5.543394e-07 1.261176e-06 2.159377e-07 6.498926e-03
5.648775e-07 1.777990e-03 2.159377e-07 6.498926e-03
5.756159e-07 3.442643e-06 2.159377e-07 6.498926e-03
5.865585e-07 6.092591e-04 2.159377e-07 6.498926e-03
5.977090e-07 1.264850e-07 2.159377e-07 6.498926e-03
6.090716e-07 1.284752e-03 2.159377e-07 6.498926e-03
6.206502e-07 1.076248e-07 2.159377e-07 6.498926e-03
6.324488e-07 5.807085e-04 2.159377e-07 6.498926e-03
6.444718e-07 4.946651e-03 2.159377e-07 6.498926e-03
6.567234e-07 6.769948e-05 2.159377e-07 6.498926e-03
6.692078e-07 2.734792e-02 2.159377e-07 6.498926e-03
6.819296e-07 8.585233e-03 2.159377e-07 6.498926e-03
6.948932e-07 7.546293e-03 2.159377e-07 6.498926e-03
7.081032e-07 3.197819e-03 2.159377e-07 6.498926e-03
7.215644e-07 1.090806e-02 2.159377e-07 6.498926e-03
7.352815e-07 9.218355e-03 2.159377e-07 6.498926e-03
