freq ReZ ImZ ReErrZ ImErrZ C G errC errG
9.157509e+05 9.350047e-06 -5.576000e-04 1.620341e-07 7.784294e-06 3.116003e-04 3.006396e+01 9.052312e-08 7.035769e-03
8.090615e+05 1.066547e-05 -6.310793e-04 1.974146e-07 8.809903e-06 3.116238e-04 2.677244e+01 9.745451e-08 6.314617e-03
7.147963e+05 1.234592e-05 -7.142370e-04 2.426770e-07 9.970283e-06 3.116490e-04 2.419408e+01 1.058577e-07 5.836140e-03
6.321113e+05 1.447268e-05 -8.075740e-04 3.000212e-07 1.127227e-05 3.116771e-04 2.218426e+01 1.157537e-07 5.547549e-03
5.595971e+05 1.715387e-05 -9.120985e-04 3.723690e-07 1.272971e-05 3.117090e-04 2.061223e+01 1.272118e-07 5.408393e-03
4.952947e+05 2.056475e-05 -1.030344e-03 4.644524e-07 1.437764e-05 3.117463e-04 1.936359e+01 1.404712e-07 5.390879e-03
4.385965e+05 2.487417e-05 -1.163308e-03 5.808233e-07 1.622959e-05 3.117896e-04 1.837217e+01 1.556010e-07 5.478078e-03
3.885004e+05 3.031957e-05 -1.313003e-03 7.278754e-07 1.831306e-05 3.118397e-04 1.757762e+01 1.727791e-07 5.658238e-03
3.442341e+05 3.718987e-05 -1.481430e-03 9.133760e-07 2.065528e-05 3.118972e-04 1.693514e+01 1.921792e-07 5.923910e-03
3.050641e+05 4.585863e-05 -1.671090e-03 1.147357e-06 2.329015e-05 3.119624e-04 1.640946e+01 2.140297e-07 6.271350e-03
2.704164e+05 5.678092e-05 -1.884471e-03 1.442020e-06 2.625116e-05 3.120351e-04 1.597457e+01 2.385563e-07 6.698952e-03
2.397507e+05 7.053807e-05 -2.124552e-03 1.812935e-06 2.957818e-05 3.121148e-04 1.561026e+01 2.660423e-07 7.207621e-03
2.126302e+05 8.783708e-05 -2.394290e-03 2.279013e-06 3.331032e-05 3.122009e-04 1.530172e+01 2.967700e-07 7.799361e-03
1.885725e+05 1.096481e-04 -2.698134e-03 2.866187e-06 3.750659e-05 3.122926e-04 1.503688e+01 3.311967e-07 8.480527e-03
1.672520e+05 1.371245e-04 -3.039981e-03 3.605229e-06 4.221738e-05 3.123885e-04 1.480780e+01 3.697211e-07 9.257045e-03
1.483900e+05 1.716673e-04 -3.423677e-03 4.533441e-06 4.749097e-05 3.124873e-04 1.460870e+01 4.127404e-07 1.013525e-02
1.316482e+05 2.152349e-04 -3.855508e-03 5.702897e-06 5.340728e-05 3.125879e-04 1.443438e+01 4.609297e-07 1.112748e-02
1.168224e+05 2.700643e-04 -4.340136e-03 7.172827e-06 6.002102e-05 3.126887e-04 1.428178e+01 5.147791e-07 1.224244e-02
1.036592e+05 3.392513e-04 -4.885077e-03 9.024965e-06 6.742195e-05 3.127890e-04 1.414781e+01 5.750904e-07 1.349521e-02
9.199632e+04 4.263758e-04 -5.496114e-03 1.135318e-05 7.567046e-05 3.128874e-04 1.403056e+01 6.424569e-07 1.489624e-02
8.163265e+04 5.364127e-04 -6.182701e-03 1.428726e-05 8.486839e-05 3.129833e-04 1.392790e+01 7.178520e-07 1.646332e-02
7.246377e+04 6.747140e-04 -6.949858e-03 1.796486e-05 9.504687e-05 3.130756e-04 1.383865e+01 8.017204e-07 1.820226e-02
6.430868e+04 8.493719e-04 -7.810385e-03 2.259299e-05 1.063244e-04 3.131642e-04 1.376091e+01 8.952978e-07 2.013386e-02
5.711022e+04 1.067985e-03 -8.766362e-03 2.836003e-05 1.186570e-04 3.132481e-04 1.369393e+01 9.985671e-07 2.225099e-02
5.068424e+04 1.344438e-03 -9.838130e-03 3.561107e-05 1.322055e-04 3.133279e-04 1.363579e+01 1.113361e-06 2.458159e-02
4.498426e+04 1.691615e-03 -1.102958e-02 4.464988e-05 1.468747e-04 3.134030e-04 1.358582e+01 1.239558e-06 2.710934e-02
3.993610e+04 2.125882e-03 -1.234715e-02 5.584907e-05 1.625477e-04 3.134731e-04 1.354310e+01 1.377089e-06 2.981380e-02
