freq ReP ImP
9.157509e+09 -2.732923e-08 -4.778044e-10
8.605852e+09 -2.737255e-08 -1.063413e-09
8.090615e+09 -2.735050e-08 -2.007408e-09
7.604563e+09 -2.735796e-08 -2.793371e-09
7.147963e+09 -2.734464e-08 -3.695772e-09
6.724950e+09 -2.727593e-08 -4.982167e-09
6.321113e+09 -2.721659e-08 -6.169437e-09
5.948840e+09 -2.715884e-08 -7.487566e-09
5.595971e+09 -2.706345e-08 -9.000272e-09
5.263158e+09 -2.693356e-08 -1.071808e-08
4.952947e+09 -2.678753e-08 -1.263562e-08
4.659832e+09 -2.664878e-08 -1.454726e-08
4.385965e+09 -2.643654e-08 -1.697365e-08
4.127115e+09 -2.627125e-08 -1.919169e-08
3.885004e+09 -2.597415e-08 -2.224610e-08
3.656307e+09 -2.571564e-08 -2.515631e-08
3.442341e+09 -2.536743e-08 -2.870888e-08
3.240441e+09 -2.495229e-08 -3.271823e-08
3.050641e+09 -2.452079e-08 -3.695536e-08
2.871913e+09 -2.401348e-08 -4.173938e-08
2.704164e+09 -2.343403e-08 -4.710672e-08
2.546473e+09 -2.281745e-08 -5.287351e-08
2.397507e+09 -2.208647e-08 -5.939743e-08
2.257846e+09 -2.126030e-08 -6.669704e-08
2.126302e+09 -2.031013e-08 -7.488737e-08
2.002403e+09 -1.926920e-08 -8.380933e-08
1.885725e+09 -1.861640e-08 -9.393669e-08
1.775884e+09 -1.842324e-08 -1.052982e-07
1.672520e+09 -1.832596e-08 -1.184070e-07
1.575299e+09 -1.847630e-08 -1.335373e-07
1.483900e+09 -1.873751e-08 -1.509208e-07
1.397624e+09 -1.868885e-08 -1.703614e-07
1.316482e+09 -1.823350e-08 -1.926568e-07
1.240079e+09 -1.769289e-08 -2.175894e-07
1.168224e+09 -1.671334e-08 -2.454121e-07
1.100473e+09 -1.518324e-08 -2.767074e-07
1.036592e+09 -1.286826e-08 -3.112288e-07
9.765625e+08 -9.628071e-09 -3.502858e-07
9.199632e+08 -5.269094e-09 -3.933108e-07
8.665511e+08 -6.637768e-10 -4.386748e-07
8.163265e+08 5.562431e-09 -4.912823e-07
7.692308e+08 1.275810e-08 -5.466363e-07
7.246377e+08 2.129752e-08 -6.104989e-07
6.825939e+08 3.059924e-08 -6.786719e-07
6.430868e+08 4.162871e-08 -7.537563e-07
6.060606e+08 5.441419e-08 -8.383766e-07
5.711022e+08 6.795539e-08 -9.294683e-07
5.379236e+08 8.307622e-08 -1.028588e-06
5.068424e+08 1.002324e-07 -1.139814e-06
4.775549e+08 1.191021e-07 -1.262589e-06
4.498426e+08 1.399617e-07 -1.396570e-06
4.239084e+08 1.633813e-07 -1.545737e-06
3.993610e+08 1.885811e-07 -1.706873e-06
3.763643e+08 2.172374e-07 -1.888205e-06
3.546099e+08 2.489368e-07 -2.086859e-06
3.341129e+08 2.832145e-07 -2.304142e-06
3.148615e+08 3.216446e-07 -2.545384e-06
2.966479e+08 3.638883e-07 -2.810714e-06
2.794857e+08 4.108051e-07 -3.103708e-06
2.633658e+08 4.629048e-07 -3.426008e-06
2.481390e+08 5.203156e-07 -3.780527e-06
2.338087e+08 5.845092e-07 -4.171101e-06
2.203128e+08 6.559316e-07 -4.601422e-06
2.075981e+08 7.353384e-07 -5.073533e-06
1.956182e+08 8.243974e-07 -5.595161e-06
1.843318e+08 9.236420e-07 -6.167101e-06
1.736714e+08 1.034971e-06 -6.795867e-06
1.636661e+08 1.160043e-06 -7.485608e-06
1.542020e+08 1.300249e-06 -8.242295e-06
1.453066e+08 1.457691e-06 -9.070244e-06
1.369113e+08 1.635204e-06 -9.977382e-06
1.290156e+08 1.835439e-06 -1.096985e-05
1.215658e+08 2.061790e-06 -1.205294e-05
1.145607e+08 2.317322e-06 -1.323399e-05
1.079447e+08 2.606135e-06 -1.452133e-05
1.017191e+08 2.933572e-06 -1.592171e-05
9.587728e+07 3.302442e-06 -1.743827e-05
9.033424e+07 3.722644e-06 -1.909106e-05
8.510638e+07 4.196819e-06 -2.087075e-05
8.019246e+07 4.734963e-06 -2.280092e-05
7.558579e+07 5.338295e-06 -2.485917e-05
7.122507e+07 6.025613e-06 -2.709304e-05
6.711409e+07 6.800295e-06 -2.948032e-05
6.321113e+07 7.682036e-06 -3.205602e-05
5.959476e+07 8.661454e-06 -3.476672e-05
5.614823e+07 9.771740e-06 -3.766521e-05
5.291005e+07 1.101769e-05 -4.073932e-05
4.985045e+07 1.241793e-05 -4.399778e-05
4.697041e+07 1.398172e-05 -4.742009e-05
4.426737e+07 1.572131e-05 -5.100376e-05
4.171882e+07 1.765660e-05 -5.474446e-05
3.930818e+07 1.981228e-05 -5.865335e-05
3.703704e+07 2.219717e-05 -6.270449e-05
3.490401e+07 2.481792e-05 -6.686983e-05
3.288392e+07 2.771021e-05 -7.116380e-05
3.098853e+07 3.086497e-05 -7.553602e-05
2.920561e+07 3.429689e-05 -7.996584e-05
2.751789e+07 3.804002e-05 -8.446212e-05
2.593361e+07 4.207183e-05 -8.896129e-05
2.443196e+07 4.643676e-05 -9.347399e-05
2.302556e+07 5.108767e-05 -9.792959e-05
2.169668e+07 5.606117e-05 -1.023294e-04
2.044572e+07 6.133562e-05 -1.066284e-04
1.926782e+07 6.690263e-05 -1.108042e-04
1.815541e+07 7.276609e-05 -1.148363e-04
1.710864e+07 7.889087e-05 -1.186916e-04
1.612123e+07 8.527123e-05 -1.223541e-04
1.519064e+07 9.187936e-05 -1.258023e-04
1.431434e+07 9.868386e-05 -1.290210e-04
1.348800e+07 1.056666e-04 -1.320036e-04
1.271133e+07 1.127757e-04 -1.347377e-04
1.197748e+07 1.200188e-04 -1.372336e-04
1.128668e+07 1.273416e-04 -1.394873e-04
1.063603e+07 1.347205e-04 -1.415080e-04
1.002205e+07 1.421445e-04 -1.433085e-04
9.442871e+06 1.495895e-04 -1.449015e-04
8.896797e+06 1.570341e-04 -1.463057e-04
8.389262e+06 1.643564e-04 -1.475172e-04
7.905138e+06 1.717351e-04 -1.485849e-04
7.446016e+06 1.791262e-04 -1.495100e-04
7.017544e+06 1.864109e-04 -1.502970e-04
6.613757e+06 1.936607e-04 -1.509696e-04
6.230530e+06 2.009315e-04 -1.515287e-04
5.871991e+06 2.081297e-04 -1.519827e-04
5.534034e+06 2.153147e-04 -1.523268e-04
5.213764e+06 2.225359e-04 -1.525589e-04
4.914005e+06 2.297127e-04 -1.526717e-04
4.629630e+06 2.369496e-04 -1.526531e-04
4.363002e+06 2.441671e-04 -1.524872e-04
4.110152e+06 2.514492e-04 -1.521564e-04
3.874467e+06 2.586691e-04 -1.516504e-04
3.650968e+06 2.659440e-04 -1.509420e-04
3.439972e+06 2.732341e-04 -1.500145e-04
3.241491e+06 2.804993e-04 -1.488558e-04
3.054368e+06 2.877374e-04 -1.474494e-04
2.878526e+06 2.949035e-04 -1.457908e-04
2.712232e+06 3.020185e-04 -1.438625e-04
2.555584e+06 3.090286e-04 -1.416685e-04
2.408478e+06 3.158841e-04 -1.392199e-04
2.269632e+06 3.225918e-04 -1.365124e-04
2.138580e+06 3.291243e-04 -1.335564e-04
2.015316e+06 3.354329e-04 -1.303783e-04
1.898975e+06 3.415158e-04 -1.269870e-04
1.789549e+06 3.473312e-04 -1.234174e-04
1.686341e+06 3.528785e-04 -1.196851e-04
1.589067e+06 3.581402e-04 -1.158193e-04
1.497454e+06 3.631032e-04 -1.118508e-04
1.411034e+06 3.677696e-04 -1.078008e-04
1.329610e+06 3.721322e-04 -1.037016e-04
1.252976e+06 3.761885e-04 -9.958390e-05
1.180638e+06 3.799552e-04 -9.546049e-05
1.112595e+06 3.834267e-04 -9.136871e-05
1.048438e+06 3.866216e-04 -8.731960e-05
9.881423e+05 3.895421e-04 -8.334484e-05
9.310987e+05 3.922204e-04 -7.943416e-05
8.771930e+05 3.946657e-04 -7.560582e-05
8.264463e+05 3.968835e-04 -7.188594e-05
7.788162e+05 3.988834e-04 -6.829461e-05
7.342144e+05 4.006789e-04 -6.484632e-05
6.915629e+05 4.023210e-04 -6.147415e-05
6.518905e+05 4.037787e-04 -5.827441e-05
6.142506e+05 4.050961e-04 -5.518475e-05
5.787037e+05 4.062790e-04 -5.222100e-05
5.455537e+05 4.073265e-04 -4.941891e-05
5.138746e+05 4.082756e-04 -4.670861e-05
4.842615e+05 4.091154e-04 -4.414800e-05
4.564126e+05 4.098625e-04 -4.171759e-05
4.301075e+05 4.105296e-04 -3.940331e-05
4.051864e+05 4.111267e-04 -3.719519e-05
3.818251e+05 4.116551e-04 -3.511238e-05
3.598417e+05 4.121244e-04 -3.314174e-05
3.390980e+05 4.125420e-04 -3.127344e-05
3.194888e+05 4.129139e-04 -2.950008e-05
3.011141e+05 4.132422e-04 -2.783252e-05
2.837684e+05 4.135343e-04 -2.625358e-05
2.673797e+05 4.137946e-04 -2.475779e-05
2.519526e+05 4.140255e-04 -2.334649e-05
2.374169e+05 4.142305e-04 -2.201401e-05
2.237136e+05 4.144125e-04 -2.075562e-05
2.108370e+05 4.145737e-04 -1.957134e-05
1.986492e+05 4.147176e-04 -1.844891e-05
1.871958e+05 4.148452e-04 -1.739285e-05
1.763980e+05 4.149587e-04 -1.639616e-05
1.662234e+05 4.150596e-04 -1.545607e-05
1.566416e+05 4.151492e-04 -1.456999e-05
1.476015e+05 4.152290e-04 -1.373335e-05
1.391014e+05 4.152998e-04 -1.294614e-05
1.310788e+05 4.153630e-04 -1.220267e-05
1.235178e+05 4.154192e-04 -1.150154e-05
1.163873e+05 4.154692e-04 -1.083996e-05
1.096732e+05 4.155137e-04 -1.021669e-05
1.033485e+05 4.155532e-04 -9.629301e-06
9.737098e+04 4.155885e-04 -9.073916e-06
9.174312e+04 4.156200e-04 -8.550802e-06
8.650519e+04 4.156476e-04 -8.063747e-06
8.149959e+04 4.156725e-04 -7.598133e-06
7.680492e+04 4.156945e-04 -7.161303e-06
7.235890e+04 4.157142e-04 -6.747490e-06
6.816633e+04 4.157318e-04 -6.357162e-06
6.426735e+04 4.157472e-04 -5.994076e-06
6.053269e+04 4.157611e-04 -5.646226e-06
5.704507e+04 4.157734e-04 -5.321319e-06
5.376344e+04 4.157845e-04 -5.015479e-06
5.065856e+04 4.157945e-04 -4.725980e-06
4.773270e+04 4.158036e-04 -4.453026e-06
4.498426e+04 4.158112e-04 -4.196515e-06
4.239084e+04 4.158180e-04 -3.954432e-06
3.995206e+04 4.158238e-04 -3.726806e-06
3.765060e+04 4.158289e-04 -3.512025e-06
3.547357e+04 4.158334e-04 -3.308929e-06
3.342246e+04 4.158371e-04 -3.117673e-06
3.149606e+04 4.158407e-04 -2.938123e-06
2.968240e+04 4.158438e-04 -2.769128e-06
2.797203e+04 4.158464e-04 -2.609853e-06
2.635741e+04 4.158490e-04 -2.459555e-06
2.483855e+04 4.158515e-04 -2.318157e-06
2.340276e+04 4.158536e-04 -2.184395e-06
2.205558e+04 4.158553e-04 -2.058938e-06
2.078138e+04 4.158571e-04 -1.940249e-06
1.958480e+04 4.158583e-04 -1.828893e-06
1.809300e+04 4.158610e-04 -1.690010e-06
