t Vext G_frac
0.000e+00 0.0 1.000e+00
1.000e-13 0.0 1.050e+00
2.020e-13 0.0 1.050e+00
3.060e-13 0.0 1.050e+00
4.122e-13 0.0 1.050e+00
5.204e-13 0.0 1.050e+00
6.308e-13 0.0 1.050e+00
7.434e-13 0.0 1.050e+00
8.583e-13 0.0 1.050e+00
9.755e-13 0.0 1.050e+00
1.095e-12 0.0 1.050e+00
1.217e-12 0.0 1.050e+00
1.341e-12 0.0 1.050e+00
1.468e-12 0.0 1.050e+00
1.597e-12 0.0 1.050e+00
1.729e-12 0.0 1.050e+00
1.864e-12 0.0 1.050e+00
2.001e-12 0.0 1.050e+00
2.141e-12 0.0 1.050e+00
2.284e-12 0.0 1.050e+00
2.430e-12 0.0 1.050e+00
2.578e-12 0.0 1.050e+00
2.730e-12 0.0 1.050e+00
2.884e-12 0.0 1.050e+00
3.042e-12 0.0 1.050e+00
3.203e-12 0.0 1.050e+00
3.367e-12 0.0 1.050e+00
3.534e-12 0.0 1.050e+00
3.705e-12 0.0 1.050e+00
3.879e-12 0.0 1.050e+00
4.057e-12 0.0 1.050e+00
4.238e-12 0.0 1.050e+00
4.423e-12 0.0 1.050e+00
4.611e-12 0.0 1.050e+00
4.803e-12 0.0 1.050e+00
4.999e-12 0.0 1.050e+00
5.199e-12 0.0 1.050e+00
5.403e-12 0.0 1.050e+00
5.611e-12 0.0 1.050e+00
5.824e-12 0.0 1.050e+00
6.040e-12 0.0 1.050e+00
6.261e-12 0.0 1.050e+00
6.486e-12 0.0 1.050e+00
6.716e-12 0.0 1.050e+00
6.950e-12 0.0 1.050e+00
7.189e-12 0.0 1.050e+00
7.433e-12 0.0 1.050e+00
7.682e-12 0.0 1.050e+00
7.935e-12 0.0 1.050e+00
8.194e-12 0.0 1.050e+00
8.458e-12 0.0 1.050e+00
8.727e-12 0.0 1.050e+00
9.002e-12 0.0 1.050e+00
9.282e-12 0.0 1.050e+00
9.567e-12 0.0 1.050e+00
9.859e-12 0.0 1.050e+00
1.016e-11 0.0 1.050e+00
1.046e-11 0.0 1.050e+00
1.077e-11 0.0 1.050e+00
1.108e-11 0.0 1.050e+00
1.141e-11 0.0 1.050e+00
1.173e-11 0.0 1.050e+00
1.207e-11 0.0 1.050e+00
1.241e-11 0.0 1.050e+00
1.276e-11 0.0 1.050e+00
1.311e-11 0.0 1.050e+00
1.347e-11 0.0 1.050e+00
1.384e-11 0.0 1.050e+00
1.422e-11 0.0 1.050e+00
1.461e-11 0.0 1.050e+00
1.500e-11 0.0 1.050e+00
1.540e-11 0.0 1.050e+00
1.581e-11 0.0 1.050e+00
1.622e-11 0.0 1.050e+00
1.665e-11 0.0 1.050e+00
1.708e-11 0.0 1.050e+00
1.752e-11 0.0 1.050e+00
1.797e-11 0.0 1.050e+00
1.843e-11 0.0 1.050e+00
1.890e-11 0.0 1.050e+00
1.938e-11 0.0 1.050e+00
1.986e-11 0.0 1.050e+00
2.036e-11 0.0 1.050e+00
2.087e-11 0.0 1.050e+00
2.139e-11 0.0 1.050e+00
2.191e-11 0.0 1.050e+00
