 t Vext Jext errJ Jint  G_frac QLFSL1 QLFSL2 QLFSL3 JphotoL1 JphotoL2 JphotoL3 JdirL1 JdirL2 JdirL3 JbulkElecL1 JbulkElecL2 JbulkElecL3 JbulkHolesL1 JbulkHolesL2 JbulkHolesL3 JintElecL1L2 JintElecL2L3 JintHolesL1L2 JintHolesL2L3 JminLeft JminRight JShunt Jnion Jpion JD
 0.00000000000000000000E+0000  0.00000000000000000000E+0000  7.40752622082419324777E-0005  3.99323295032499955114E-0005  7.40752622082419324777E-0005  1.00000000000000000000E+0000  1.39127340259522989257E+0000  1.46367238775806682749E+0000  1.30839372927215260862E+0000  0.00000000000000000000E+0000  2.23269675379811485205E+0002  0.00000000000000000000E+0000  4.15543976337158181541E-0040  4.18014852445578549555E-0003  1.14801458350114988453E-0034  0.00000000000000000000E+0000  2.20974193442127898504E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.20974302955073899662E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  1.53844932149033699894E-0014 -2.07031812085352921195E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000
 9.99999999999999999990E-0014  0.00000000000000000000E+0000  3.25255723409410403058E+0000  1.30895779420619477323E+0001  3.25255723409410403058E+0000  1.04999999999999999996E+0000  1.39127340264538364948E+0000  1.46367238869580365557E+0000  1.30839372928114919432E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.15543994388786569243E-0040  4.18014877862384752165E-0003  1.14801461275340357377E-0034  0.00000000000000000000E+0000  2.20974197774057880037E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.20974206878342544227E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  7.40698628524430567842E-0003 -1.22400278310127706705E+0001  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  3.25354459135683005870E+0000
 2.02000000000000000006E-0013  0.00000000000000000000E+0000  3.09461999755668905896E-0001  4.24002824432430361823E+0000  3.09461999755668905896E-0001  1.04999999999999999996E+0000  1.39127340274572181499E+0000  1.46367239052273886654E+0000  1.30839372929912091436E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.15543994653688842234E-0040  4.18014917775600408199E-0003  1.14801461844866757509E-0034  0.00000000000000000000E+0000  2.20974212015487681562E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.20974212922861391967E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  6.74064980452176282880E-0003 -1.13251519644123298325E+0001  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  3.10369827042329064364E-0001
 3.05999999999999999989E-0013  0.00000000000000000000E+0000 -6.77217707790057282664E-0002  7.45886951230833708027E-0001 -6.77217707790057282664E-0002  1.04999999999999999996E+0000  1.39127340289837450637E+0000  1.46367239319316609593E+0000  1.30839372932646976194E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.15543995080767098731E-0040  4.18014975366699481080E-0003  1.14801462694526269550E-0034  0.00000000000000000000E+0000  2.20974232564584088426E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.20974221644520389715E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  6.13425517107915092408E-0003 -1.04925752317037771734E+0001  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -6.68841842474513526706E-0002
 4.12200000000000000012E-0013  0.00000000000000000000E+0000 -5.91972371090274188178E-0002  9.08343834769578129397E-0001 -5.91972371090274188178E-0002  1.04999999999999999996E+0000  1.39127340310753092989E+0000  1.46367239667064216648E+0000  1.30839372936398190908E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.15543995726248516239E-0040  4.18015049843581806587E-0003  1.14801463846809126701E-0034  0.00000000000000000000E+0000  2.20974259138742520223E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.20974232923339827347E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  5.58241006247433713898E-0003 -9.73489383093141003207E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -5.84214921635192306100E-0002
 5.20400000000000000019E-0013  0.00000000000000000000E+0000 -1.14450460585426898553E-0002  1.71522948886168217152E-0001 -1.14450460585426898553E-0002  1.04999999999999999996E+0000  1.39127340337785368896E+0000  1.46367240090950786883E+0000  1.30839372941253849687E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.15543996661867946125E-0040  4.18015140311689822631E-0003  1.14801465328572924954E-0034  0.00000000000000000000E+0000  2.20974291418809731816E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.20974246623812464602E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  5.08020727447331143987E-0003 -9.04537005327367214357E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -1.07235078780241736537E-0002
 6.30799999999999999979E-0013  0.00000000000000000000E+0000  4.98826301397246502971E-0003  8.86890286236061923798E-0002  4.98826301397246502971E-0003  1.04999999999999999996E+0000  1.39127340371569427357E+0000  1.46367240588073320711E+0000  1.30839372947334512938E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.15543997975826166326E-0040  4.18015246106962898050E-0003  1.14801467172770353879E-0034  0.00000000000000000000E+0000  2.20974329167883177513E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.20974262645329961693E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  4.62318103979568207275E-0003 -8.41787229189009040924E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  5.66255136879726434261E-0003
 7.43399999999999999992E-0013  0.00000000000000000000E+0000  2.90511143527308461869E-0003  5.53635400228752886608E-0002  2.90511143527308461869E-0003  1.04999999999999999996E+0000  1.39127340412736150957E+0000  1.46367241155078120951E+0000  1.30839372954763052200E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.15543999774240643124E-0040  4.18015366556596072762E-0003  1.14801469413940810101E-0034  0.00000000000000000000E+0000  2.20974372145947443286E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.20974280885952465564E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  4.20726733447922613386E-0003 -7.84682056260804094592E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  3.53847985624621205696E-0003
 8.58300000000000000006E-0013  0.00000000000000000000E+0000 -3.39299598551421764604E-0004  3.66292693695807340227E-0003 -3.39299598551421764604E-0004  1.04999999999999999996E+0000  1.39127340461954637774E+0000  1.46367241789359763850E+0000  1.30839372963673074041E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.15544002180480732575E-0040  4.18015501105268753814E-0003  1.14801472087435218337E-0034  0.00000000000000000000E+0000  2.20974420154912879061E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.20974301261526028500E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  3.82876772418764175201E-0003 -7.32713685515986350204E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.58921322965139176858E-0004
 9.75499999999999999972E-0013  0.00000000000000000000E+0000 -1.01772510691354975093E-0003  7.56296311877047031446E-0003 -1.01772510691354975093E-0003  1.04999999999999999996E+0000  1.39127340519823514847E+0000  1.46367242488037089491E+0000  1.30839372974189927694E+0000  0.00000000000000000000E+0000  2.34433159148802059510E+0002  0.00000000000000000000E+0000  4.15544005334129377005E-0040  4.18015649161633217321E-0003  1.14801475225204048690E-0034  0.00000000000000000000E+0000  2.20974472983841181403E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  2.20974323682434522401E+0002  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  3.48431649110098988957E-0003 -6.85420000032039858796E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000  0.00000000000000000000E+0000 -4.49389175588402583817E-0004
