freq ReP ImP
9.157509e+09 5.913966e-06 -8.700020e-06
8.090615e+09 6.513575e-06 -1.051091e-05
7.147963e+09 7.257872e-06 -1.255197e-05
6.321113e+09 8.182659e-06 -1.493665e-05
5.595971e+09 9.293119e-06 -1.758007e-05
4.952947e+09 1.065107e-05 -2.058491e-05
4.385965e+09 1.227417e-05 -2.390633e-05
3.885004e+09 1.420748e-05 -2.756836e-05
3.442341e+09 1.649698e-05 -3.158012e-05
3.050641e+09 1.920355e-05 -3.599890e-05
2.704164e+09 2.236830e-05 -4.076823e-05
2.397507e+09 2.603574e-05 -4.583093e-05
2.126302e+09 3.027004e-05 -5.124672e-05
1.885725e+09 3.511977e-05 -5.690158e-05
1.672520e+09 4.062548e-05 -6.274142e-05
1.483900e+09 4.682496e-05 -6.878414e-05
1.316482e+09 5.374317e-05 -7.484568e-05
1.168224e+09 6.137884e-05 -8.088268e-05
1.036592e+09 6.974317e-05 -8.679508e-05
9.199632e+08 7.883599e-05 -9.276157e-05
8.163265e+08 8.852925e-05 -9.814290e-05
7.246377e+08 9.878681e-05 -1.033677e-04
6.430868e+08 1.095080e-04 -1.080329e-04
5.711022e+08 1.206379e-04 -1.130283e-04
5.068424e+08 1.320068e-04 -1.172154e-04
4.498426e+08 1.435881e-04 -1.215775e-04
3.993610e+08 1.552061e-04 -1.258780e-04
3.546099e+08 1.670099e-04 -1.312242e-04
3.148615e+08 1.788224e-04 -1.365862e-04
2.794857e+08 1.908604e-04 -1.426778e-04
2.481390e+08 2.031785e-04 -1.497075e-04
2.203128e+08 2.159898e-04 -1.579061e-04
1.956182e+08 2.294877e-04 -1.674645e-04
1.736714e+08 2.438257e-04 -1.781491e-04
1.542020e+08 2.592172e-04 -1.905399e-04
1.369113e+08 2.757283e-04 -2.040017e-04
1.215658e+08 2.937336e-04 -2.195573e-04
1.079447e+08 3.134840e-04 -2.369371e-04
9.587728e+07 3.356061e-04 -2.577769e-04
8.510638e+07 3.598862e-04 -2.764277e-04
7.558579e+07 3.871580e-04 -2.973111e-04
6.711409e+07 4.181489e-04 -3.203916e-04
5.959476e+07 4.528386e-04 -3.450952e-04
5.291005e+07 4.897287e-04 -3.631541e-04
4.697041e+07 5.298576e-04 -3.826982e-04
4.171882e+07 5.719532e-04 -4.041381e-04
3.703704e+07 6.149709e-04 -4.247528e-04
3.288392e+07 6.574046e-04 -4.462628e-04
2.920561e+07 6.991272e-04 -4.753981e-04
2.593361e+07 7.398418e-04 -5.113267e-04
2.302556e+07 7.794547e-04 -5.533282e-04
2.044572e+07 8.198796e-04 -6.086913e-04
1.815541e+07 8.629508e-04 -6.807500e-04
1.612123e+07 9.101162e-04 -7.729617e-04
1.431434e+07 9.610527e-04 -8.813523e-04
1.271133e+07 1.015577e-03 -1.019674e-03
1.128668e+07 1.069630e-03 -1.190071e-03
1.002205e+07 1.118264e-03 -1.410134e-03
8.896797e+06 1.002048e-03 -1.750021e-03
7.905138e+06 8.542660e-04 -2.337606e-03
7.017544e+06 7.610647e-04 -3.080382e-03
6.230530e+06 7.556648e-04 -4.044214e-03
5.534034e+06 8.395129e-04 -5.270673e-03
4.914005e+06 9.654734e-04 -6.690149e-03
4.363002e+06 1.133879e-03 -8.446076e-03
3.874467e+06 1.328613e-03 -1.062799e-02
3.439972e+06 1.527569e-03 -1.329255e-02
3.054368e+06 1.742880e-03 -1.667206e-02
2.712232e+06 1.954657e-03 -2.091840e-02
2.408478e+06 2.176129e-03 -2.628299e-02
2.138580e+06 2.446822e-03 -3.302293e-02
1.898975e+06 2.797306e-03 -4.155915e-02
1.686341e+06 3.279947e-03 -5.225872e-02
1.497454e+06 3.830192e-03 -6.570902e-02
1.329610e+06 4.833583e-03 -8.252729e-02
1.180638e+06 6.001274e-03 -1.034821e-01
1.048438e+06 7.663414e-03 -1.295378e-01
9.310987e+05 1.006492e-02 -1.618299e-01
8.264463e+05 1.346372e-02 -2.017362e-01
7.342144e+05 1.826580e-02 -2.507930e-01
6.518905e+05 2.493220e-02 -3.104901e-01
5.787037e+05 3.374143e-02 -3.835231e-01
5.138746e+05 4.566482e-02 -4.722219e-01
4.564126e+05 6.207575e-02 -5.789515e-01
4.051864e+05 8.465221e-02 -7.072163e-01
3.598417e+05 1.154109e-01 -8.592268e-01
3.194888e+05 1.571189e-01 -1.038356e+00
2.837684e+05 2.127655e-01 -1.246275e+00
2.519526e+05 2.866839e-01 -1.485946e+00
2.237136e+05 3.833578e-01 -1.757939e+00
1.986492e+05 5.084862e-01 -2.062089e+00
1.763980e+05 6.682208e-01 -2.396359e+00
1.566416e+05 8.688071e-01 -2.756743e+00
1.391014e+05 1.116810e+00 -3.136928e+00
1.235178e+05 1.418376e+00 -3.528335e+00
1.096732e+05 1.778420e+00 -3.919488e+00
9.737098e+04 2.199988e+00 -4.296970e+00
8.650519e+04 2.679999e+00 -4.643547e+00
7.680492e+04 3.219822e+00 -4.947503e+00
6.816633e+04 3.811455e+00 -5.193408e+00
6.053269e+04 4.438709e+00 -5.367712e+00
5.376344e+04 5.088586e+00 -5.463580e+00
4.773270e+04 5.747443e+00 -5.477898e+00
4.239084e+04 6.394002e+00 -5.412227e+00
3.765060e+04 7.012769e+00 -5.273556e+00
3.342246e+04 7.594444e+00 -5.070988e+00
2.968240e+04 8.123687e+00 -4.818378e+00
2.635741e+04 8.596890e+00 -4.528565e+00
2.340276e+04 9.011294e+00 -4.215123e+00
2.078138e+04 9.367149e+00 -3.890902e+00
1.845359e+04 9.668210e+00 -3.566069e+00
1.638538e+04 9.919689e+00 -3.248639e+00
1.455180e+04 1.012701e+01 -2.945254e+00
1.291990e+04 1.029702e+01 -2.658716e+00
1.147315e+04 1.043488e+01 -2.392481e+00
1.018745e+04 1.054626e+01 -2.146946e+00
9.049774e+03 1.063544e+01 -1.923234e+00
8.032129e+03 1.070734e+01 -1.718444e+00
7.132668e+03 1.076443e+01 -1.534097e+00
6.333122e+03 1.080991e+01 -1.367852e+00
5.624297e+03 1.084598e+01 -1.218785e+00
4.995005e+03 1.087459e+01 -1.085255e+00
4.434590e+03 1.089732e+01 -9.654949e-01
3.938558e+03 1.091524e+01 -8.589008e-01
3.496503e+03 1.092947e+01 -7.634870e-01
3.104626e+03 1.094070e+01 -6.786091e-01
2.757100e+03 1.094955e+01 -6.031312e-01
2.448580e+03 1.095654e+01 -5.359804e-01
2.173913e+03 1.096207e+01 -4.760961e-01
1.930502e+03 1.096643e+01 -4.229549e-01
1.714090e+03 1.096987e+01 -3.756581e-01
1.522302e+03 1.097258e+01 -3.337079e-01
1.351717e+03 1.097472e+01 -2.963709e-01
1.200192e+03 1.097641e+01 -2.631886e-01
1.065757e+03 1.097775e+01 -2.337367e-01
9.460738e+02 1.097880e+01 -2.075081e-01
8.403361e+02 1.097962e+01 -1.843297e-01
7.462687e+02 1.098028e+01 -1.637055e-01
6.626905e+02 1.098079e+01 -1.453781e-01
5.882353e+02 1.098120e+01 -1.290492e-01
5.224660e+02 1.098152e+01 -1.146238e-01
4.640371e+02 1.098177e+01 -1.018074e-01
4.120313e+02 1.098197e+01 -9.039923e-02
3.657644e+02 1.098213e+01 -8.024948e-02
3.247808e+02 1.098225e+01 -7.125838e-02
2.884338e+02 1.098235e+01 -6.328424e-02
2.561475e+02 1.098243e+01 -5.620081e-02
2.274278e+02 1.098249e+01 -4.989977e-02
2.019386e+02 1.098254e+01 -4.430739e-02
1.793400e+02 1.098257e+01 -3.934914e-02
1.592357e+02 1.098260e+01 -3.493815e-02
1.414027e+02 1.098263e+01 -3.102548e-02
1.255650e+02 1.098264e+01 -2.755051e-02
